product,feature_01,feature_02,feature_03,feature_04,feature_05,feature_06,url,image
Product_01,336,9,520,1,38,2,https://www.google.com/search?q=product+1,Product_01.jpg
Product_02,515,8.5,520,1,38,3,https://www.google.com/search?q=product+2,Product_02.jpg
Product_03,488,6.2,520,3,38,2,https://www.google.com/search?q=product+3,Product_03.jpg
Product_04,349,9,535,1,38,2,https://www.google.com/search?q=product+4,Product_04.jpg
Product_05,520,8.5,535,1,38,3,https://www.google.com/search?q=product+5,Product_05.jpg
Product_06,497,6.2,535,3,38,2,https://www.google.com/search?q=product+6,Product_06.jpg
Product_07,338,6.8,660,3,30,2,https://www.google.com/search?q=product+7,Product_07.jpg
Product_08,437,5.7,660,3,30,2,https://www.google.com/search?q=product+8,Product_08.jpg
Product_09,362,4.5,660,3,30,1,https://www.google.com/search?q=product+9,Product_09.jpg
Product_10,346,6.8,615,3,30,2,https://www.google.com/search?q=product+10,Product_10.jpg
